userName,score,at,content
Kang Toharin,5,2022-02-16 13:02:37,Ok
reynald syahyana,2,2022-02-16 12:59:03,Kenapa ya saya masuk susah padahal waktu dulu tinggal masukin no aja .soalnya dulu saya udah daftar ke aflikasi
Yanti Hp,5,2022-02-16 12:58:27,Mantap
Salsabila Fithriyah,2,2022-02-16 12:58:23,"kualitas nya ditingkatkan lagi yah, cape banget waktu nge scan barcode nya ga bisa², itu kenapa sih kesel bangett hrus lama² berdiri cuma buat nge scan😔"
Intan Juliana,5,2022-02-16 12:58:15,Mantp
Heri Cahyono,5,2022-02-16 12:57:37,Membantu
Gandika Abdillah,5,2022-02-16 12:54:10,Ok.
jenny jay,1,2022-02-16 12:50:03,Ora penting ini haya bisnis oknum
Agus Purwanto,5,2022-02-16 12:48:18,Sipppppp
Bryan Agni setyawan,5,2022-02-16 12:48:10,Great aps
Sarjo Cahbumen,5,2022-02-16 12:47:53,Jos
Wita Wita,5,2022-02-16 12:47:40,Bagus
Fridolin Manurung,1,2022-02-16 12:47:32,Aplikasi hebat. Saking hebat nya malah jadi ngaco. Update lah berdasarkan hasil PCR. Bukan harus 11 hari. Pengembang nya bego atau memang settingan pemerintah?
Fortunata Yvonia Fidelma,5,2022-02-16 12:47:22,Surat tanda bukti faksin pertama hilang.. Alhamdulillah aku buka pedulilindungi ahirnya aku punya tanda bukti faksin
ryan devi,5,2022-02-16 12:46:09,Sangat penting
Fisti Anggistya,5,2022-02-16 12:44:12,Guud
Irwan Wahyudin,1,2022-02-16 12:41:45,Saya udah vaksin ke 2 tp sertifikat yg ke 2 blm terbit.....jadi susah juga.. bagaimana ini
Budidanik Budidanik,5,2022-02-16 12:41:03,Yah
Ade Rachmansyah,5,2022-02-16 12:39:26,Puas
wanto plts,5,2022-02-16 12:36:03,Baik
Muhammad Hafit,5,2022-02-16 12:35:53,Sangat baik
Mamo soudjah,1,2022-02-16 12:33:08,"Saya sudah mencoba aplikasi tracetogether (semacam aplikasi peduli lindugi milik singapore) lebih dr 3minggu puas, krn setiap masuk mall, tempat makan, tempat ibadah dan kantor wajib scan qr.. menurut saya trace togehterlebih informatif dan mudah digunakan. Coba peduli lindungi lebih simple dan informatif. Aplikasinya reibet mau chekout aja gak bisa harus scan qr. Klo d trace together aplikasi dengan bluetooth lebih mantap"
Lulus Senpai,5,2022-02-16 12:32:44,baik
Sutri Sutriyah,5,2022-02-16 12:32:40,good
Ramli Hamid,5,2022-02-16 12:32:17,Peduli lindungi sangat bermanfaat
Toto DudiHeryanto,3,2022-02-16 12:27:40,Cek out susah
SALSABILLA ADINDA FAUZIAH,1,2022-02-16 12:27:20,BUKANNNYA MEMPERMUDAH MALA MEMPERSULITTT
Fadelan Asad Asad,4,2022-02-16 12:27:00,Tahu info perzona
Aris Setiawan,1,2022-02-16 12:26:31,Parah aja s udah vaksin ke dua status warna masih kuning ngga boleh masuk gedung jadi ngga bisa kerja 😴
Charto Suryanto,5,2022-02-16 12:20:56,Ok
Mar sono,5,2022-02-16 12:18:42,bagus aplikasi nya
S GIANTO,5,2022-02-16 12:18:05,Aku sudah vaksin ke 2
Josua Mananda,5,2022-02-16 12:16:08,Bagussss bangettttttttttttttttttttt
Liya Marlina,5,2022-02-16 12:16:07,Good
Adyt Fc,1,2022-02-16 12:16:06,buruk
lilik bpm,1,2022-02-16 12:15:32,Aplikasi susah di buka dan gak bisa lihat sertifikat vaksin.
Elfian 1972,4,2022-02-16 12:13:17,oke
Sodik Sojes,5,2022-02-16 12:11:35,Terima kasih
Siau She,5,2022-02-16 12:10:24,Ok
082210 352721,5,2022-02-16 12:06:02,Semoga Bermanfaat
Dynda Karlina,4,2022-02-16 12:01:25,"Sejauh ini sudah bagus cuma kalo bisa pada saat penulisan tanggal lahir bisa diketik saja, agak ribet kalo mencari tahun lahir 60 an harus memundurkan bulan sampai tanggal yg dimaksud"
Mar Tina,3,2022-02-16 11:59:42,Sya dh vaksin kedua kenapa sertipikatya msh lom muncul pdhal dh 3 blnan🥺
Alfian Nur,4,2022-02-16 11:59:38,Sangat mudah masuk ke mana
Olvi Zonnarfin,1,2022-02-16 11:59:31,Sangat buruk
Priyono edwi,5,2022-02-16 11:58:21,Ok
Widianta Arifin,4,2022-02-16 11:58:08,Pastikan vaksin booster sudah terjadwal bagi yang belum.
Sahfa Aja,5,2022-02-16 11:58:07,Mantap
Arya Prakasa,5,2022-02-16 11:57:55,Bagus
Tatarias Sekar Gading,4,2022-02-16 11:57:30,Bisa membantu
Abdul Kholik,5,2022-02-16 11:56:34,Bagus sih cuman kebanyakan harus di apgret terus
Wiwit Safitri,5,2022-02-16 11:54:57,"Hallo admin, saya uda vaksin ke 3 tapi sertifikat belum2 muncul2 juga uda 2bulanan"
aden Gaming,5,2022-02-16 11:48:02,Sangat membantu
Mur Yadi,5,2022-02-16 11:47:26,terima kasih .....masih lancar tambah bintang 1 tapi serifikat vaksin booster g keluar. ada solusi ? klaim sertifikat juga masih susah
Wiwin Windiyani,5,2022-02-16 11:47:24,Kita gk boleh marah marah harusnya berterima kasih kalo gk ada pedulilindungi nujukin sertifikat ya gimana kalo pake kertas takut nya penipuan kalo pedulilindungi kan di percaya karena kita udah vaksinnasi ok ini info penting terima kasih
Oppo Sampit,5,2022-02-16 11:44:55,Aplikasi ny mendukung sekali...utk melakukan perjalanan ke mana2...dgn prokes yg ketat
Rg Umboh,5,2022-02-16 11:40:41,Sangat membantu aku suka
Ferry Febriansyah Permana,5,2022-02-16 11:39:22,Bermanfaat
Dwi Yuliani,2,2022-02-16 11:36:15,",,,s"
Iwan Heryawan,5,2022-02-16 11:31:33,Alhamdulillah bisa ngebantu. Bwt bekerja. Trimakasih
Made Wiryawan,4,2022-02-16 11:30:08,Mempermudah perjalanan
Enengmursiti Mursiti,4,2022-02-16 11:27:57,Bagus
Charelle Nadeva Pradana,5,2022-02-16 11:27:12,👍
rus tiana,2,2022-02-16 11:24:15,Aplikasi ini sangat jelek
Joni cool tehnik,1,2022-02-16 11:22:31,Corona gk jelas sdh vaksin tp tetap gk bebas
Aspir Mujahid,5,2022-02-16 11:22:02,Baik
deden com,2,2022-02-16 11:20:23,Peduli lindung
Desti Fatimatuzzahro,5,2022-02-16 11:19:56,Bagus
Satria Malang jiwa,5,2022-02-16 11:18:03,Mudah untuk cek
Novriza Adriana Jasmine,5,2022-02-16 11:17:27,Sering trable
Yuda Dika Prastia,4,2022-02-16 11:13:41,Alus pisan ih
Sandi putra Putra,5,2022-02-16 11:12:45,Sangat membantu
Hoki Hoki,5,2022-02-16 11:11:21,Terpercaya.. dan bagus sekali
Dedy Setiady,5,2022-02-16 11:09:52,Semakin meluas jangkauannya
Fani Natalia,5,2022-02-16 11:09:17,penting
Azzkha Alfarizky,5,2022-02-16 11:08:32,Ngikut aja
Desy Kuswaningsih,5,2022-02-16 11:07:06,Good
CUCU GEULIS,3,2022-02-16 11:05:32,🄿🅁🄸🅆🄴 🅈🄰
Hamzah Bbsdlp,5,2022-02-16 11:04:13,Sangat membantu
Dede Aj,5,2022-02-16 11:03:03,Sangat membantu
Joen 83,5,2022-02-16 11:03:00,Dikembangkan terus utk keperluan lainya agar lbh mudah
Agus Ramdan,5,2022-02-16 11:02:55,Mantaap
Rikar Firmansyah,5,2022-02-16 11:00:44,Membantu
Sukri Widodo,5,2022-02-16 11:00:17,Mantulll
Wa Ode Siti Fatimah,5,2022-02-16 10:59:47,Ok
Queen Tiaa,5,2022-02-16 10:56:46,"H, yxy guS-"
Ani Iryanti,5,2022-02-16 10:56:46,Good
Khoirun Insyani,4,2022-02-16 10:54:34,Ok
MUHAMAD IKHSAN,5,2022-02-16 10:52:09,Oklah
Yhersiadhi I,1,2022-02-16 10:50:38,Kenapa layar nya selalu gelap saat mau scan
Suandi Suandi,5,2022-02-16 10:50:33,Ok
Refani Aurellia,1,2022-02-16 10:49:57,"Maaf ya sebelumnya, saya tanya kenapa gak bisa buat scan QR? Untuk masalah profil dll sudah lengkap, izin aplikasi nya juga sudah nyala, hari ini masuk sekolah dan sekolah menerapkan aturan buat check in/out, saya udah coba berkali kali tetap gak bisa, tolong dong diberi sarannya atau solusi, soalnya saya udah bingung harus gimana lagi. Sekian, terima kasih."
ANTI GALAU GALAU,1,2022-02-16 10:48:45,Jelek
Heny Andriani,1,2022-02-16 10:48:00,"Aneh isi data berkali2 dan benar juga tp gak keluar sertifikat vaksin nya , alasanya data tidak valid"
iis anajemi,4,2022-02-16 10:46:06,Kenapa di App store tidak ada aplikasinya ya? Apa hanya diandorid saja?
Rini Ariasih,5,2022-02-16 10:45:25,Baik
Linus Ohoiledjaan,5,2022-02-16 10:43:31,Lebih simpel untuk digunakan apabila diperlukan .
Eman Sulaiman,5,2022-02-16 10:38:15,"bagus bisa tahu,"
AND1 21,1,2022-02-16 10:35:54,"5u9529,t5*^ yo3"
Ruisto Cahyadi,5,2022-02-16 10:35:18,mudah digunakan
Ridwan Putra,5,2022-02-16 10:35:06,Mantap
Elisa Caem,4,2022-02-16 10:31:03,8 feb Update mulu
Mama Lilik,5,2022-02-16 10:29:23,Alhamdulillah bagus aplikasi nya udh ada 2 kali sertifikat vaksin saya muncul semuanya
Ven Libranoto,5,2022-02-16 10:27:17,👍👍👍
Reyna Vio,2,2022-02-16 10:24:15,"Kenapa belum lama diperbarui harus diperbarui lagi sih,bikin kesel aja ."
Buyung Szie,5,2022-02-16 10:22:00,Top
Rizal Cahya,3,2022-02-16 10:14:37,Okay dech
Alidi Alidi,5,2022-02-16 10:11:43,Tanda bintang mewakili perasaan
Pujiati Astarini,5,2022-02-16 10:11:17,Bagus
Bebe Cahaya,1,2022-02-16 10:10:37,Bagus
Mohamad Azis,4,2022-02-16 10:07:24,Sangat membantu
Tasya Febriani fs,5,2022-02-16 10:07:18,Baik
Darma Anto,3,2022-02-16 10:05:01,Aplikasinya kurang canggih. Slalu eror
Madan Udex,4,2022-02-16 10:00:53,Semoga aplikasi ini dapat membantu masyarakat Indonesia...
R Iwan Bangkonol,1,2022-02-16 10:00:44,Aplikasi ga ada ahlak
Ahmad Fauzy,4,2022-02-16 09:57:59,Bagus
Irwandy 16,5,2022-02-16 09:52:44,"Peduli Lindungi ini sangat bermanfaat sekali kegunaan nya, jadi org yg blm Vaksin sama sekali ketauan"
taopik saepul hikmah,4,2022-02-16 09:49:49,Good
Agnes Silalahi,5,2022-02-16 09:49:11,Ok
Sandhieka Prasetyo,4,2022-02-16 09:48:45,Ok bgt
Diwantoro Ns,1,2022-02-16 09:47:21,Ga jelas
Muhammad Hilmi Alawi,5,2022-02-16 09:44:35,Sangt bgus
Muhammad Aditia,1,2022-02-16 09:43:49,Tidak bisa klaim sertifikat!!!
Basri Qinayungan,5,2022-02-16 09:39:00,Baik
Ns M. Nadie saputra,1,2022-02-16 09:36:55,MEREPOTKAN SAJA!!!
Irwan Chandra,5,2022-02-16 09:34:31,Program terintegrasi cukup membantu pada saat pandemi sekarang
Yongki Yanto,5,2022-02-16 09:32:48,Sangat membantu
RONI UMBU MUDA,5,2022-02-16 09:30:03,Good
Makmur Noben,5,2022-02-16 09:28:00,Baik
Ria November,5,2022-02-16 09:27:38,Lumayan
Wong Edanff,1,2022-02-16 09:23:44,"APK ini menyulitkan bukan mempermudah saya sudah taruh data yang pas tapi masih tetep gagal,tolong perbaiki saya sudah sangat emosi sudah brp kali saya mencoba tetap tidak bisa"
Arjuna Z,5,2022-02-16 09:23:36,Cukup Baik dan membantu
Marzuki Ibnu,5,2022-02-16 09:15:31,Ok
Galih Prasasti,3,2022-02-16 09:12:29,Tgl 8 kmarin saya swab PCR dan hasilnya positif. Tp d aplikasi peduli lindungi kok beda tanggal. Jd tgl 9. Apakah bisa dibantu ubah? Soalnya mempengaruhi tgl slesei isomannya. Harusnya sudah boleh masuk ke tempat publik. Takutnya masih tidak bisa. Thanks
Ujang Surachman,5,2022-02-16 09:12:02,Great
Farida Farid12,5,2022-02-16 09:11:29,HEBAT
"Siti Juhariyah, AMAK",5,2022-02-16 09:09:42,Sangat informatif
Donie Nugraha,1,2022-02-16 09:06:47,"Belum terupdate hasil PCR terbaru sejak keluar tanggal 15 februari, klo positif cepet banget gk butuh itungan hari"
Darmanto,5,2022-02-16 09:06:45,Sangat membantu
Eka aja,3,2022-02-16 09:05:02,Kenapa sangat Susah d gunakan untuk yang Kedua d tempat yang Sama
Irwan Iir,5,2022-02-16 09:03:41,Ok banget
Hendy Ministry,5,2022-02-16 09:02:33,Ok
Kurma Nengsih,5,2022-02-16 09:02:08,sangat membantu
Janna Boedhi Wijono Wijono,5,2022-02-16 08:52:55,Mudah untuk mendapatkan informasi dan mendownload sertifikat. Cuma sayang untuk daftar Vaksin ke 3 amat sulit.
Diah Wulandari,5,2022-02-16 08:52:10,Ok
Hendro Tsl,5,2022-02-16 08:51:03,"tolong di bantu, engga bisa lait sertifikat vaksin"
Irma Mulyawati,3,2022-02-16 08:50:25,Sering banget ni aplikasi minta di upgrade Ampe bosen nge upgrade nya juga..
Hadi prastiyo,5,2022-02-16 08:49:15,Baik
Rendy Tyas,1,2022-02-16 08:45:02,Aplikasi busuk
Jumadi Jumadi,5,2022-02-16 08:44:11,Ok
Firman Fera,4,2022-02-16 08:43:42,Aplikasi yg sangat membantu
Sutarno Kdi2,5,2022-02-16 08:42:53,Wes ooyeee
Sen Jung,4,2022-02-16 08:40:45,Baik
Sunar Sunar,5,2022-02-16 08:39:30,Good
Hartoyo Hardisumarto,5,2022-02-16 08:39:09,"Aplikasi Peduli Lindungi sangat bermanfaat dan praktis digunakan untuk memasuki kantor2, mall, bandara yang memakai layar pengecekan pengunjung."
Nizar Rizqullah,5,2022-02-16 08:37:40,Berguna
robi pasipik,1,2022-02-16 08:37:24,Ga bisa kleam sertipikat vaksin
rusdi rivai,4,2022-02-16 08:36:52,z. S
Ulan Sari devi,1,2022-02-16 08:35:53,Wulan Sari Devi
Rudi Kurniawan,4,2022-02-16 08:33:24,Alhamdulillah bagus
Solihin solihin,4,2022-02-16 08:32:18,ok joos
Lilin dalam gelap,5,2022-02-16 08:29:22,Ok sekali
Shannen AW,1,2022-02-16 08:27:06,Saya udah swab antigen dan pcr tanggal 14 Februari 2022 dan hasilnya udah negatif tapi di aplikasi kok masih positif dengan menunjukkan hasil swab antigen tanggal 07 Februari 2022. Kecewa banget
Najmah farodisa,5,2022-02-16 08:27:06,Bagus
Dido Saputra,5,2022-02-16 08:23:59,Ok
Roswita 173,5,2022-02-16 08:16:55,Baik
tommyz Tomy05,5,2022-02-16 08:16:25,Bagus dan sngat membantu masyarakat indonesia
Sarif Kopler,5,2022-02-16 08:15:14,Sedap
Aria Pradipta,1,2022-02-16 08:12:24,Nah
Quirinus Pari,5,2022-02-16 08:12:14,Sangat membantu..👍
Izzratul Nurzahra,1,2022-02-16 08:10:16,Bgs
anisah nisah,5,2022-02-16 08:10:09,Good
Viivy Wiiney,5,2022-02-16 08:07:10,Ok
Jaenal Muttaqin,5,2022-02-16 08:04:56,Top
SEDA WANGGE,5,2022-02-16 08:04:46,Bagusssssss ngga susa isi datanya
Hanafi Surajaya,5,2022-02-16 07:58:39,Sangat membantu informasi nya
ahmad muplikhin,5,2022-02-16 07:54:22,Good
Davidson Witin,5,2022-02-16 07:54:04,Sangat membantu trims
Pitrika Lumbantoruan,5,2022-02-16 07:53:09,Bagus dan membantu
Maspur fishing,1,2022-02-16 07:49:54,Itu masukin tgl lahir bikin manual lah ribet bgtt. . . Bikin apk tu yg memudahkan jgan menyusahkan
wahyu anwar,4,2022-02-16 07:49:03,Penanganan covid ok..
Budy Satya,5,2022-02-16 07:48:43,Terima kasih kami.semua dapat menggunakan aplikasi dengan akurat
zulkifli AR Alfan,4,2022-02-16 07:48:28,Sangat mebantu dlm perjalanan ke luar daerah maupun dlm berurusan yg diperlukan oleh intansi baik pemerintah maupun swssta
Ibnu Maherzi,5,2022-02-16 07:45:23,Sangat membantu
Hembang Simanjuntak,5,2022-02-16 07:44:57,"Setelah diisi otpnya , tdk mau di enter"
I Nyoman Nuija,5,2022-02-16 07:42:47,OKEY
hanna ivanaa,5,2022-02-16 07:42:42,"mohon maaf sbelumnya saya beri bintang 1, krna ada kendala teknis trkait sertivikat vaksin, dan skrng sudah muncul setelah saya hubungi chatbot melalui wa, seperti di tv di syarankan."
prayogi dhinda,5,2022-02-16 07:42:40,Kadang klo mau check out susah. Entah barcode nya yg gak bisa atau app nya yg ngadat. Terus klo lihat dari riwayat mau check out ulang susah
Risnawaty Siregar,5,2022-02-16 07:39:42,Good...
indri,5,2022-02-16 07:38:17,Akhirnya puas dengan peduliindungi Lebih puas lagi KLO bisa edit data sinkronisasi degan pihak rumah dinas agar mempermudah kita tidak perlu bolak-balik ke rumah dinas untuk memperbaiki data2 yg salah karena kelalaian petugas nya terimakasih
ar rifai,5,2022-02-16 07:36:18,Mantap
Tri wahyu eka widya ningsih,5,2022-02-16 07:35:48,Bagus
Gondez 2010,2,2022-02-16 07:35:46,"Saya tgl 9 pebruari 2022 tes pcr hasil negatif, tp status di aplikasi belum pernah tes"
Muhajir Muhajir,5,2022-02-16 07:34:58,Lebih mudah pakai aplikasi ini
Mubarok Hawli,5,2022-02-16 07:33:30,"Setelah saya memakai aplikasi ini, saya lebih mudah untuk pergi kemana mana tanpa harus repot repot membawa dokumen berkas vaksin. Saya saya salut! Jangan berhenti berkarya, INDONESIA KU!!!"
Biqel moore,5,2022-02-16 07:31:37,Sangat membantu untuk kbutuhan administrasi
Ecko 0298,5,2022-02-16 07:30:19,Ok
Arif Ilham,5,2022-02-16 07:30:17,Mayan
Aris Wibowo,5,2022-02-16 07:29:44,Bagus
rina febri,5,2022-02-16 07:27:20,Sampe sekarang sertifikat vaksin ketiga belum masuk juga di aplikasi. Padahal udah lewat sebulan lebih.
Egak Farliyanto,5,2022-02-16 07:26:43,Top....
Suryadi Hardianty,1,2022-02-16 07:26:23,Suami saya sudah vaksin kedua sejak oktober 2021 tpi malah sampai sekarang sertifikatnya tidak keluar
Firman Syah,5,2022-02-16 07:25:39,Baguss
Muhammad Arfan,1,2022-02-16 07:24:35,Tataian
Rexsel Julianto,5,2022-02-16 07:23:06,Bagus
difa difa,1,2022-02-16 07:22:39,"Mending balik ke aplikasi yang dulu aja, dana gede kok masa aplikasi nyusahin"
Achmad Rafa,3,2022-02-16 07:21:40,Oke
Mimin Mintarsih,1,2022-02-16 07:15:54,Sering eror bikin jengkel
Eddy Supriadi,5,2022-02-16 07:15:18,Sangat Bagus
Su Mardi,5,2022-02-16 07:13:07,Ok
Wahyu Sigit,5,2022-02-16 07:12:35,Mantab
Tissu Hend,5,2022-02-16 07:11:48,Top
Yayan Maryani,5,2022-02-16 07:07:03,Karna saya sudah di faksin di sini. 🤗😌
Lasdawati Lasdawati,5,2022-02-16 07:05:48,Simple
Sujoko Joko,5,2022-02-16 07:04:04,Oke
Siswanto Ku Ku,5,2022-02-16 07:04:00,"Bagus dan sangat membantu , kedepan semakin lengkap dgn fasilitas yg lain 🙏"
Alvin Subakti,1,2022-02-16 07:03:34,Kenapa jenis vaksin dan tanggal vaksin masih di pertanyakan ketika klaim sertifikat harusnya lebih simple saja masukan nik dan nama untuk klaim sertifikat di aplikasi
Willi lost,4,2022-02-16 07:03:31,Sangat dibutuhkan aplikasi ini
William Andera,4,2022-02-16 07:03:14,"Cara mudah, untuk Di, di lu묘ㅕar i"
Rosmanidar Rosmanidar,5,2022-02-16 07:02:26,Alhamdulillah dapat dengan kemanapun dengan membuka dn menunjukkan aplikasi peduli lindungi
Bayu Setiawan,5,2022-02-16 07:02:21,Bagus dan membantu
Suryani Yani,5,2022-02-16 07:00:56,Mantap
Satrya Graha,4,2022-02-16 07:00:07,"Good app, useless"
hhngh. iEko Eko Purwanto,4,2022-02-16 06:57:45,Ok
yessa freeland,5,2022-02-16 06:57:18,Mantab
Abdul rohim,5,2022-02-16 06:55:27,"Nomor hp yang terdaftar untuk vaksin saya hilang, apakah ada solusi??? Bisa tidak kalau verifikasi pakai NIK saja"
endrawan purnarizal,3,2022-02-16 06:55:13,"Aplikasi sangat membantu, sayangnya masih sukankendala jaringan error"
ggnaliG,2,2022-02-16 06:55:04,"Maaf dev app ini, tolong perbaiki lagi dalam masalah check-in/check-out... Kadang kadang tidak berfungsi dengan baik, tidak bisa check-out dan lain sebagainya. Harap dikembangkan lagi supaya aplikasinya semakin lancar. Semangat terus developer... Kalian pasti bisa :)"
Sabrina Elceria,1,2022-02-16 06:54:38,"Dear admin Maaf ya saya kasih bintang 1. Hasil test antigen (positip 14 feb) ter-update di pedulilindungi. Namun, Hasil test pcr saya (negative 15feb) tidak update di peduli lindungi. Laboratorium tempat saya test, jelas sudah terdaftar, data sayapun sudah benar.. status saya di pedulilindungi saat ini berwarna hitam. Hal ini mengakibatkan saya tidak bisa masuk ke kantor & tdk bs gunkan transportasi umum. Sangat merugikan!! Kalau tidak siap, jgan digunakan sbagai syarat utama🙏"
Frisdian Asmar,5,2022-02-16 06:52:04,Aplikasi penting dan keren serta melindungi diri sendiri dan orang lain
monika sheli,5,2022-02-16 06:51:54,"Kalo Pagi/ sore jam sibuk pulang kerja, kenpa Sering eror bila scan Barcode di area stasiun...?"
Farika Nur,5,2022-02-16 06:51:25,Ok Bagus
mawardi rusma,5,2022-02-16 06:50:50,Boleh lh
Mudi Yono,5,2022-02-16 06:45:07,Pelayanan anda baik sekali
raudatul anikoh,1,2022-02-16 06:44:10,Aplikasi gajelas
Carla Yoryu,3,2022-02-16 06:42:23,Vaksin udah dua kali tapi di peduli lindungi cuma muncul 1 udah lapor kesana kesini gak ada perubahan niat kerja gak sih kalian
Tiarma Simbolon,3,2022-02-16 06:40:35,Sejauh ini bagus
marselin labatar,4,2022-02-16 06:39:56,Sangat bermanfaat
Kahar Muzakar,5,2022-02-16 06:38:38,Top
salim Manulang,3,2022-02-16 06:36:59,Bagus
hendar enay,5,2022-02-16 06:35:16,Bagus!!!!!!!!!!
Nana jaemin,5,2022-02-16 06:34:19,👍
Bayu Ardian,1,2022-02-16 06:33:12,Aplikasi anti Root?
andrean wibisono,5,2022-02-16 06:31:41,Membantu sekali dan perlu dukungan kita semua sebagai WNI.....
INDONESIA GAMERS,5,2022-02-16 06:30:23,Good
Shandy Hendrawan budiarman,1,2022-02-16 06:30:05,vaksin sudah 2x tp sertifikat yg muncul cuman yg ke 1 trus kmn data gw nya...nie yg amatir tuh yg input data apa emang semua nya amatiran ???
Bung Julian,4,2022-02-16 06:28:05,Sss jaddk
rosad abdi,5,2022-02-16 06:27:31,Mntapppp
Dimas Aditia Nugroho,5,2022-02-16 06:27:15,6m4
Muhammad Raid Dhani,5,2022-02-16 06:25:11,Belum ada
titi suryati,4,2022-02-16 06:21:17,Godd.
Rizki Hariyo,3,2022-02-16 06:19:55,"Kemaren tes antigen dan hasilnya negatif tapi ko tidak keluar ya di apk peduli lindungi nya ,apa hanya untuk pcr saja yang keluar"
Lutfie Wandani,4,2022-02-16 06:18:46,Bagus
Djona J,5,2022-02-16 06:18:26,Cara aman ke tempat umum
Dius Watofa,5,2022-02-16 06:18:14,Sangat membantu dlm menjalankan tugas luar kota dan luar pulau
wachid hasyim,1,2022-02-16 06:14:44,Sertifikat boster wachid hasyim
khalik milanisty,1,2022-02-16 06:13:12,"Gk bisa,knpa bgtu iya pdhal udah masuk udah login semua data sdah lngkap konfirmasi otp email nya ssah skli.. Mhon dong di perbaiki.🙏"
Poco X3pro,1,2022-02-16 06:10:01,"Gimana mengatasi kendala tidak bisa Terima SMS OTP,"
Suprapti Jaten,5,2022-02-16 06:09:15,Kerja TKW
Pratama Jarot,5,2022-02-16 06:08:26,Bagus
sardi ardiansyah17,5,2022-02-16 06:07:26,Ok Banget
Syagdianto Anto,5,2022-02-16 06:05:23,Membantu sekali
Mas Awaludin,1,2022-02-16 06:03:30,Apk nya jelek
Wayan Suji,5,2022-02-16 06:00:26,Lebih praktis
Justi Pondaag,5,2022-02-16 05:59:37,Ok
Dinda Sans,2,2022-02-16 05:57:33,Gatau harus gimana lgi sy udah vaksin 2 kali tp yg pertama gk ada sertifikat nya di sini jadi yg ada cuma faksin kedua trs gmn ini! Faksin kedua di anggap faksin pertama
Ayah Andir,5,2022-02-16 05:57:27,Good
AA Cell,2,2022-02-16 05:54:23,Lelet
rx ofisial,2,2022-02-16 05:53:57,Sertifikasi ga muncul
fenny mutiasari,1,2022-02-16 05:53:39,Sungguh sulit aplikasi...mau buka menu sertifikat faksin malah gk bisa .
Alfira Tria Zalma,2,2022-02-16 05:52:10,LAMA PELAYANANNYA
Akbarak Pratama,4,2022-02-16 05:51:39,"Mau tau apakah sudah bisa memindahkan kode QR, karna sebelumnya saya pake tidak bisa dgunakan"
BUNDA RODIFAH,5,2022-02-16 05:49:45,Baik
Rohim /Kenny,1,2022-02-16 05:48:03,Versi terbaru makin nggak beres..
Suhendi Hendi,4,2022-02-16 05:46:51,So far so good
ayahh bilqist,5,2022-02-16 05:44:03,Bagus
Adios Adis,3,2022-02-16 05:43:52,Bgus
Faki Ganteng,5,2022-02-16 05:43:08,Mantap
Reza Hamdani,1,2022-02-16 05:42:50,Peduli lindungan sangat bagus
Opung doli,5,2022-02-16 05:40:32,"Pelayanan para medisnya/nakes sangat santun, baik dan sangat mengarahkan saat memberi pencerahan...tks...salam sehat...God bless"
Gorat ID,1,2022-02-16 05:37:52,Gak diberitahu kapan vaksinasi dosis ke 2
Andika Rizki Ferdianto,5,2022-02-16 05:34:03,Bagus aplikasi nya sertifikat faksin ku sudah jadi 😁
Ujang Suhenda,5,2022-02-16 05:32:34,I like👍👍👍
Riri Reza,1,2022-02-16 05:32:14,Susah
Akian Joni,5,2022-02-16 05:31:17,Mantap
prasetyo edi,5,2022-02-16 05:30:13,"TOP BGT, keren"
Moch Refan,5,2022-02-16 05:26:21,Akurat mantap
sulaeman efendi,5,2022-02-16 05:25:55,Bagus
Anti Badai Fishing,4,2022-02-16 05:25:20,Alhamdulilah sejauh ini aplikasi nya baik2 saja tidak ada kendala. hasil akurat👍 Go Peduli Lindungi .
aji agung,1,2022-02-16 05:22:20,"Wkt swab tgl 8 februari hasil positif (tanpa gejala apapun) dan dalam hitungan menit status di pedulilindungi langsung berubah warnah hitam, Tapi kenapa ini sya sudah swab ulang hasilnya sudah 1 hari belum berubah padahal hasil tesnya sudah negatif, sudah saya kontak pihak lab terkait,mereka sudah menginput data ke peduliLindungi Apakah ini biar daftar pasiem covid terlihat banyak ya? Tolong dong diupdate datanya Jangan pas positif aja yg cepat di updte"
Mulia Butar butar,5,2022-02-16 05:21:46,Bagus
H parhimpunan Siregar,5,2022-02-16 05:21:16,Tkd
Edi Supriyanto,5,2022-02-16 05:17:04,Sangat membantu
Samsu Hidayat,5,2022-02-16 05:13:47,Mantab
Dina Awijara,1,2022-02-16 05:11:33,"Jelek banget. Hasil tes negatif, tapi di peduli lindungi positif. Maksudnya apa ? Nambahin angka covid ?"
Mahmudin Manggis,3,2022-02-16 05:10:17,"Dipersulit masuk mall,status masih KUNING, padahal sudah 2 kali vaksin..."
Moch Hairudi,5,2022-02-16 05:08:47,Sangat membantu
Yoga Balena,5,2022-02-16 05:06:39,Mantaappp ... lanjutkan ...
saprudin toha,5,2022-02-16 05:05:50,Aplikasi sangat bagus dan memberi banyak manfaat
Asep Kurniawan,3,2022-02-16 05:03:28,Lebih baik
insan kamil,5,2022-02-16 04:59:04,Keren aplikasinya
